This list is in case you purchased this animation set to use in another engine or application. It is for Protof-Actor@AssaultRifleAnimset.fbx


Animation List:

IdleBreathe: 10-130
DrawAssaultRifle: 140-205
PutBackAssaultRifle: 215-280
IdleAssaultRifle: 290-360
IdleLookAroundAssaultRifle: 370-495

WalkForwardAssaultRifle: 505-545
WalkForwardAssaultRifle_RM: 555-595
RunAssaultRifle: 605-623
RunAssaultRifle_RM: 635-653
SprintAssaultRifle: 665-677
SprintAssaultRifle_RM: 690-702

JumpToApexAssaultRifle: 715-727
FallingAssaultRifle: 745-785
LandingLightAssaultRifle: 795-805
LandingMediumAssaultRifle: 815-849
LandingHeavyAssaultRifle: 860-903

IdleAimingAssaultRifle: 915-985
ShootPrimaryAssaultRifle: 995-999
ShootPrimaryBurstAssaultRifle: 1010-1037
ShootSecondaryAssaultRifle: 1050-1090

ThrowGrenade1AssaultRifle: 1100-1180
ThrowGrenade2AssaultRifle: 1195-1282
GoToAimGrenadeIdleAssaultRifle: 1295-1355
IdleAimGrenadeAssaultRifle: 1365-1425
ThrowAimedGrenadeAssaultRifle: 1435-1480

MeleeAttack1AssaultRifle: 1490-1520
MeleeAttack2AssaultRifle: 1530-1560
MeleeAttackComboAssaultRifle: 1570-1615
MeleeAttack1AssaultRifle_RM: 1625-1655
MeleeAttackComboAssaultRifle_RM: 1665-1710

WalkForwardAimingAssaultRifle: 1720-1760
WalkBackwardsAimingAssaultRifle: 1770-1810
WalkForwardLeftAimingAssaultRifle: 1820-1860
WalkBackwardsAimingAssaultRifle: 1870-1910
WalkForwardRightAimingAssaultRifle: 1920-1960
WalkBackwardsLeftAimingAssaultRifle: 1970-2010
WalkRightAimingAssaultRifle: 2020-2060
WalkLeftAimingAssaultRifle: 2070-2110
WalkForwardAimingAssaultRifle_RM: 2120-2160
WalkBackwardsAimingAssaultRifle_RM: 2170-2210
WalkForwardLeftAimingAssaultRifle_RM: 2220-2260
WalkBackwardsAimingAssaultRifle_RM: 2270-2310
WalkForwardRightAimingAssaultRifle_RM: 2320-2360
WalkBackwardsLeftAimingAssaultRifle_RM: 2370-2410
WalkRightAimingAssaultRifle_RM: 2420-2460
WalkLeftAimingAssaultRifle_RM: 2470-2510

RunForwardAimingAssaultRifle: 2520-2538
RunBackwardsAimingAssaultRifle: 2550-2568
RunBackwardsRightAimingAssaultRifle: 2580-2598
RunForwardLeftAimingAssaultRifle: 2610-2628
RunForwardRightAimingAssaultRifle: 2640-2658
RunBackwardsLeftAimingAssaultRifle: 2670-2688
RunRightAimingAssaultRifle: 2700-2718
RunLeftAimingAssaultRifle: 2730-2748
RunForwardAimingAssaultRifle_RM: 2560-2778
